bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,fname,class_name,width,height,aspect_ratio
39,116,569,375,14,00001.jpg,Audi TTS Coupe 2012,600.0,400.0,1.5
36,116,868,587,3,00002.jpg,Acura TL Sedan 2012,900.0,675.0,1.3333333333333333
85,109,601,381,91,00003.jpg,Dodge Dakota Club Cab 2007,640.0,480.0,1.3333333333333333
621,393,1484,1096,134,00004.jpg,Hyundai Sonata Hybrid Sedan 2012,2100.0,1386.0,1.5151515151515151
14,36,133,99,106,00005.jpg,Ford F-450 Super Duty Crew Cab 2012,144.0,108.0,1.3333333333333333
259,289,515,416,123,00006.jpg,Geo Metro Convertible 1993,575.0,431.0,1.334106728538283
88,80,541,397,89,00007.jpg,Dodge Journey SUV 2012,640.0,480.0,1.3333333333333333
73,79,591,410,96,00008.jpg,Dodge Charger Sedan 2012,639.0,480.0,1.33125
20,126,1269,771,167,00009.jpg,Mitsubishi Lancer Sedan 2012,1280.0,843.0,1.5183867141162515
21,110,623,367,58,00010.jpg,Chevrolet Traverse SUV 2012,640.0,480.0,1.3333333333333333
51,93,601,393,49,00011.jpg,Buick Verano Sedan 2012,640.0,424.0,1.509433962264151
6,62,499,286,186,00012.jpg,Toyota Sequoia SUV 2012,500.0,315.0,1.5873015873015872
30,36,418,307,135,00013.jpg,Hyundai Elantra Sedan 2007,500.0,335.0,1.492537313432836
31,246,778,540,85,00014.jpg,Dodge Caravan Minivan 1997,800.0,600.0,1.3333333333333333
32,77,589,379,193,00015.jpg,Volvo C30 Hatchback 2012,640.0,424.0,1.509433962264151
27,49,611,396,172,00016.jpg,Plymouth Neon Coupe 1999,640.0,480.0,1.3333333333333333
39,52,233,150,14,00017.jpg,Audi TTS Coupe 2012,259.0,194.0,1.3350515463917525
3,8,190,147,73,00018.jpg,Chevrolet Malibu Sedan 2007,200.0,147.0,1.3605442176870748
247,287,1366,761,192,00019.jpg,Volkswagen Beetle Hatchback 2012,1500.0,938.0,1.5991471215351811
17,281,961,596,57,00020.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,1000.0,650.0,1.5384615384615385
17,156,695,375,79,00021.jpg,Chrysler 300 SRT-8 2010,750.0,469.0,1.5991471215351811
212,538,1893,1131,36,00022.jpg,BMW M6 Convertible 2010,2100.0,1386.0,1.5151515151515151
11,28,476,234,120,00023.jpg,GMC Yukon Hybrid SUV 2012,500.0,270.0,1.8518518518518519
53,126,973,621,170,00024.jpg,Nissan Juke Hatchback 2012,1024.0,768.0,1.3333333333333333
34,87,567,343,194,00025.jpg,Volvo 240 Sedan 1993,604.0,453.0,1.3333333333333333
30,174,598,379,134,00026.jpg,Hyundai Sonata Hybrid Sedan 2012,628.0,417.0,1.5059952038369304
80,107,606,336,184,00027.jpg,Suzuki SX4 Sedan 2012,630.0,418.0,1.507177033492823
45,115,585,382,86,00028.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,620.0,412.0,1.5048543689320388
28,139,1564,1126,180,00029.jpg,Spyker C8 Coupe 2009,1600.0,1200.0,1.3333333333333333
82,109,874,521,194,00030.jpg,Volvo 240 Sedan 1993,896.0,592.0,1.5135135135135136
55,318,446,564,154,00031.jpg,Land Rover Range Rover SUV 2012,1024.0,768.0,1.3333333333333333
12,31,471,350,139,00032.jpg,Hyundai Elantra Touring Hatchback 2012,500.0,375.0,1.3333333333333333
34,197,1011,656,66,00033.jpg,Chevrolet Cobalt SS 2010,1024.0,768.0,1.3333333333333333
37,63,614,397,133,00034.jpg,Hyundai Veracruz SUV 2012,640.0,480.0,1.3333333333333333
223,87,1111,670,154,00035.jpg,Land Rover Range Rover SUV 2012,1258.0,816.0,1.5416666666666667
138,41,521,223,104,00036.jpg,Ferrari 458 Italia Coupe 2012,580.0,250.0,2.32
31,87,616,344,38,00037.jpg,BMW Z4 Convertible 2012,640.0,425.0,1.5058823529411764
16,89,459,326,97,00038.jpg,Dodge Charger SRT-8 2009,480.0,360.0,1.3333333333333333
53,113,614,350,105,00039.jpg,Fisker Karma Sedan 2012,640.0,425.0,1.5058823529411764
214,110,660,403,142,00040.jpg,Infiniti QX56 SUV 2011,750.0,469.0,1.5991471215351811
61,55,566,408,13,00041.jpg,Audi A5 Coupe 2012,640.0,480.0,1.3333333333333333
28,61,622,371,191,00042.jpg,Volkswagen Golf Hatchback 1991,640.0,452.0,1.415929203539823
22,39,588,362,119,00043.jpg,GMC Savana Van 2012,596.0,417.0,1.4292565947242206
